CALLS_OI,CALLS_CHNG_OI,CALLS_VOLUME,CALLS_IV,CALLS_LTP,CALLS_CHNG,CALLS_BID_QTY,CALLS_BID,CALLS_ASK,CALLS_ASK_QTY,STRIKE,PUTS_BID_QTY,PUTS_BID,PUTS_ASK,PUTS_ASK_QTY,PUTS_CHNG,PUTS_LTP,PUTS_IV,PUTS_VOLUME,PUTS_CHNG_OI,PUTS_OI
"42,112","17,031","2,29,469",14.99,1.55,-0.75,"12,350",1.55,1.65,"4,745","26,900.00",130,"1,206.20","1,214.35",65,5.50,"1,210.00",22.74,47,24,41
"12,039","5,328","88,463",15.46,1.50,-0.65,"2,470",1.35,1.50,"88,790","26,950.00",390,"1,205.90","1,309.00",65,-,"1,180.70",-,-,-,3
"1,46,518","40,149","5,25,936",15.85,1.40,-0.70,"19,890",1.35,1.40,"6,175","27,000.00",65,"1,305.55","1,312.75",65,64.25,"1,306.80",23.36,858,-138,"1,682"
"5,832","2,950","43,486",16.16,1.25,-0.65,"38,805",1.20,1.25,"5,915","27,050.00",390,"1,307.60","1,411.05",65,-4.50,"1,283.75",-,-,-,6
"35,181","19,210","1,46,678",16.43,1.10,-0.60,"1,07,770",1.10,1.15,"45,760","27,100.00",130,"1,403.05","1,454.80",65,-17.55,"1,321.30",-,4,-1,43
"5,336","3,129","23,445",16.85,1.05,-0.60,"2,470",1.05,1.10,"6,955","27,150.00",130,"1,453.35","1,504.30",390,37.10,"1,446.60",21.65,3,-1,2
"38,325","13,446","1,27,089",17.44,1.10,-0.45,"1,105",1.05,1.10,"1,820","27,200.00",390,"1,457.05","1,555.90",65,1.40,"1,444.70",-,-,-,141
"2,915",-186,"19,703",17.75,1.00,-0.45,"17,355",0.95,1.00,"10,595","27,250.00",390,"1,506.25","1,610.55",390,-,"1,505.95",-,-,-,2
"31,825","-1,054","1,25,023",18.25,1.00,-0.30,"53,235",0.95,1.00,"13,260","27,300.00",390,"1,556.50","1,655.40",390,-,"1,579.80",-,-,-,4
"1,937",186,"15,467",18.53,0.90,-0.40,"8,450",0.90,0.95,"3,250","27,350.00",390,"1,611.35","1,707.60",65,3.20,"1,592.95",-,-,-,2
"24,161","4,074","62,755",18.90,0.85,-0.40,"1,09,395",0.80,0.85,"3,22,010","27,400.00",390,"1,655.90","1,756.15",65,4.10,"1,659.60",-,-,-,14
"2,115",400,"12,600",19.38,0.85,-0.40,"16,900",0.85,0.90,"2,795","27,450.00",390,"1,708.95","1,807.75",65,-,"1,720.85",-,-,-,2
"92,147","12,243","1,59,016",19.73,0.80,-0.45,"9,45,035",0.75,0.80,"41,210","27,500.00",390,"1,755.35","1,856.30",65,-,"1,745.00",-,-,-,24
"2,280",284,"9,443",20.20,0.80,-0.45,"23,270",0.80,0.85,"4,680","27,550.00",390,"1,800.95","1,908.20",390,-,"1,828.25",-,-,-,2
"23,364","1,253","48,492",20.54,0.75,-0.50,"2,13,655",0.70,0.75,"1,05,495","27,600.00",390,"1,854.85","1,955.50",390,1.65,"1,834.00",-,-,-,4
"1,937",57,"10,194",21.01,0.75,-0.45,"8,450",0.75,0.80,"1,755","27,650.00",390,"1,908.00","2,011.25",65,-,"1,900.00",-,-,-,2
"12,748","-3,592","59,735",21.47,0.75,-0.60,"80,535",0.75,0.80,"42,640","27,700.00",390,"1,954.10","2,055.35",65,-,"1,957.25",-,-,-,2
672,290,"2,662",21.94,0.75,-0.55,"5,265",0.75,0.80,"5,265","27,750.00",390,"1,993.00","2,111.95",390,-,"2,008.10",-,-,-,2
"16,157","1,614","53,154",22.25,0.70,-0.60,"2,01,045",0.65,0.70,"59,735","27,800.00",390,"2,053.55","2,156.55",390,1.75,"2,038.05",-,-,-,3
644,268,"3,015",22.86,0.75,-0.50,"7,670",0.75,0.80,"3,250","27,850.00",390,"2,103.15","2,213.85",65,-,"2,102.95",-,-,-,2
"7,701","3,015","27,095",23.32,0.75,-0.45,"36,660",0.75,0.80,"5,590","27,900.00",390,"2,153.85","2,256.30",390,1.20,"2,145.65",-,-,-,4
"1,022",479,"7,574",23.61,0.70,-0.55,"6,565",0.70,0.80,"8,125","27,950.00",390,"2,202.90","2,315.15",65,-5.00,"2,183.70",-,-,-,11
"20,213","6,289","53,397",24.23,0.75,-0.40,"29,640",0.70,0.75,"5,200","28,000.00",65,"2,281.95","2,355.75",65,69.55,"2,300.00",34.27,325,-,821
"1,219",719,"5,158",24.52,0.70,-0.55,"1,560",0.70,0.75,"2,600","28,050.00",390,"2,306.90","2,413.55",390,-5.00,"2,286.15",-,-,-,2
"26,845","21,345","87,624",24.97,0.70,-0.45,"1,48,850",0.70,0.75,"1,495","28,100.00",390,"2,350.25","2,458.35",390,-3.45,"2,346.10",-,-,-,3
